,query,value
0,black jeans,100
1,mens jeans,96
2,skinny jeans,83
3,men jeans,76
4,womens jeans,72
5,blue jeans,71
6,white jeans,56
7,levis,48
8,ripped jeans,47
9,levis jeans,47
10,best jeans,46
11,american eagle,41
12,american eagle jeans,41
13,mom jeans,39
14,denim jeans,37
15,levi jeans,36
16,levi,36
17,wrangler,32
18,wrangler jeans,32
19,jeans for women,31
20,jeans for men,30
21,new jeans,29
22,flare jeans,28
23,jeans near me,25
24,bootcut jeans,25
